phrase,scale,condition,run_name,total_agents,agents_with_phrase,participation_rate,early_rate,late_rate
next heartbeat,n30,mag5,ec-mag5-n30-run01,30,0,0.0,0.0,0.0
next step,n30,mag5,ec-mag5-n30-run01,30,11,0.367,0.133,0.333
actually run,n30,mag5,ec-mag5-n30-run01,30,24,0.8,0.6,0.633
off ramp,n30,mag5,ec-mag5-n30-run01,30,0,0.0,0.0,0.0
review date,n30,mag5,ec-mag5-n30-run01,30,4,0.133,0.067,0.1
copy paste,n30,mag5,ec-mag5-n30-run01,30,5,0.167,0.167,0.1
owner date,n30,mag5,ec-mag5-n30-run01,30,22,0.733,0.733,0.733
falsifier accept,n30,mag5,ec-mag5-n30-run01,30,0,0.0,0.0,0.0
failure twin,n30,mag5,ec-mag5-n30-run01,30,0,0.0,0.0,0.0
why options,n30,mag5,ec-mag5-n30-run01,30,3,0.1,0.1,0.0
approvals change,n30,mag5,ec-mag5-n30-run01,30,0,0.0,0.0,0.0
change mind,n30,mag5,ec-mag5-n30-run01,30,19,0.633,0.5,0.467
owner link,n30,mag5,ec-mag5-n30-run01,30,0,0.0,0.0,0.0
sec path,n30,mag5,ec-mag5-n30-run01,30,0,0.0,0.0,0.0
live claim,n30,mag5,ec-mag5-n30-run01,30,4,0.133,0.133,0.0
options owner,n30,mag5,ec-mag5-n30-run01,30,0,0.0,0.0,0.0
probe actually,n30,mag5,ec-mag5-n30-run01,30,1,0.033,0.033,0.0
owner mttr,n30,mag5,ec-mag5-n30-run01,30,0,0.0,0.0,0.0
near term,n30,mag5,ec-mag5-n30-run01,30,4,0.133,0.1,0.067
