condition,delta_mean_pairwise_cosine,delta_semantic_radius,delta_vendi_score,display_family_label,final_bin,final_n_available,first_bin,first_n_available,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag1,0.057086157202720644,-0.039423626065254236,-0.9785960009028427,Single-model final runs,Q4,230,Q1,337,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-mag1-n20-run01,492749e14c1d31c537500839d9acfdebf72fe9dc,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag1-n20-run01
dom-agi,0.03547516226768499,-0.023881468176841725,-0.5886085495626299,Single-model final runs,45-60m,352,0-15m,408,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-dom-agi-n30-run01,4c4501b69d05f0eb1407ae1c268273aaf93c2f79,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-dom-agi-n30-run01
dom-agi,0.03816417098045344,-0.02569781064987181,-0.6378660687262441,Single-model final runs,Q4,362,Q1,403,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-dom-agi-n30-run01,4c4501b69d05f0eb1407ae1c268273aaf93c2f79,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-dom-agi-n30-run01
mag5,-0.17299951910972594,0.13356597661972047,1.2504991951906876,Base model as tool,45-60m,19,0-15m,73,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,52391f4621c38850b837729f3639eb8536b5ad45,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag5,-0.17681116014719006,0.1397717016935348,1.501015254307652,Base model as tool,Q4,24,Q1,70,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,52391f4621c38850b837729f3639eb8536b5ad45,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag0,0.08986359894275664,-0.06419903159141538,-1.1404020503223817,Single-model final runs,45-60m,96,0-15m,114,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag0-run04
mag0,0.09384076356887816,-0.06719060003757477,-1.2305942158758043,Single-model final runs,Q4,114,Q1,107,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag0-run04
dom-tech,nan,nan,nan,Base model as tool,45-60m,0,0-15m,51,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,54c9bed3dfe388536f887aab22bad27f87d2b383,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-tech,0.2408531728386879,-0.1780920469760895,-1.2173105377137117,Base model as tool,Q4,10,Q1,16,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,54c9bed3dfe388536f887aab22bad27f87d2b383,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-tech,0.05261506736278532,-0.03522192001342772,-0.8858923360078119,Single-model final runs,45-60m,80,0-15m,140,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-dom-tech-run04,558bbf089edf8ec148df65fb11c452f9dbe7425d,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-tech-run04
dom-tech,0.06939036190509795,-0.0467189645767212,-1.099533009230489,Single-model final runs,Q4,123,Q1,130,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-dom-tech-run04,558bbf089edf8ec148df65fb11c452f9dbe7425d,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-tech-run04
mag5,nan,nan,nan,Obsession prompting,Q4,0,Q1,1,obsession_prompting,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,obs-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260412,587bea49e3f5363373f20fcceb6dba1e183b83d0,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsessions/obs-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260412
dom-agi,0.05056348323822024,-0.035396683812141394,-0.7206779440574902,Single-model final runs,45-60m,57,0-15m,154,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-dom-agi-run04,5a3139019e30ef5344c4f09f69968cf1d93292a0,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-agi-run04
dom-agi,0.042271214723587025,-0.029819138646125787,-0.722013047516695,Single-model final runs,Q4,85,Q1,139,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-dom-agi-run04,5a3139019e30ef5344c4f09f69968cf1d93292a0,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-agi-run04
dom-agi,-0.006375978589057918,0.004591536521911632,0.6123161785038125,Single-model final runs,45-60m,141,0-15m,241,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-dom-agi-n20-run01,5b52b86fbf48eaf8f21e53dbc81763e19ef77aa8,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-dom-agi-n20-run01
dom-agi,0.0007539564371109031,-0.0005675989389419822,0.5158083677215588,Single-model final runs,Q4,155,Q1,249,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-dom-agi-n20-run01,5b52b86fbf48eaf8f21e53dbc81763e19ef77aa8,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-dom-agi-n20-run01
dom-agi,-0.01610940515995024,0.01129370927810669,0.21538804058069072,Single-model final runs,45-60m,74,0-15m,82,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-dom-agi-n10-run01,5b9f012b18953905b1a247a07318da194aa56ee9,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-dom-agi-n10-run01
dom-agi,-0.01094711363315587,0.007645407319068931,0.1583623652426569,Single-model final runs,Q4,82,Q1,78,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-dom-agi-n10-run01,5b9f012b18953905b1a247a07318da194aa56ee9,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-dom-agi-n10-run01
mag0,nan,nan,nan,Obsession prompting,Q4,1,Q1,1,obsession_prompting,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,obs-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260412,5c85d2484848be667535926f67ec16d5a8058def,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsessions/obs-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260412
dom-tech,0.04683076798915864,-0.03376048147678373,-1.251815369013027,Single-model final runs,45-60m,262,0-15m,318,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-dom-tech-n30-run01,60fb124e73e2bceb6c718e3c702dc9c7d439edb3,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-dom-tech-n30-run01
dom-tech,0.04962615489959715,-0.035702065825462315,-1.3008205652843063,Single-model final runs,Q4,271,Q1,329,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-dom-tech-n30-run01,60fb124e73e2bceb6c718e3c702dc9c7d439edb3,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-dom-tech-n30-run01
mag25,-0.0374825310707092,0.027508279085159293,0.3450958002843594,Base model as tool,45-60m,55,0-15m,117,base_model_as_tool,olmo3-32b-instruct,olmo3-32b-instruct,10,olmo3-32b-instruct,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,61be460379734adc5d68789ae4614092f4a28bc6,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408
mag25,-0.051880843639373786,0.03854234218597413,0.5552355832713385,Base model as tool,Q4,64,Q1,110,base_model_as_tool,olmo3-32b-instruct,olmo3-32b-instruct,10,olmo3-32b-instruct,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,61be460379734adc5d68789ae4614092f4a28bc6,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408
dom-agi,0.05176223278045655,-0.033800957798957865,-0.7206727063886298,Single-model final runs,45-60m,110,0-15m,127,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-dom-agi-n10-run01,622f84977711e3c80802f4c0c0518fa5730ddbe0,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-dom-agi-n10-run01
dom-agi,0.029537522792816184,-0.01962002962827683,-0.8535659195456788,Single-model final runs,Q4,159,Q1,149,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-dom-agi-n10-run01,622f84977711e3c80802f4c0c0518fa5730ddbe0,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-dom-agi-n10-run01
mag0,0.016542742252349862,-0.011528750061988835,-0.26601717083145004,Single-model final runs,45-60m,199,0-15m,270,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-mag0-n20-run01,6315a15e7c3c07638de13be0f701d0b86943cae5,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag0-n20-run01
mag0,0.011509093046188357,-0.008083527684211722,-0.1926940046305914,Single-model final runs,Q4,224,Q1,338,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-mag0-n20-run01,6315a15e7c3c07638de13be0f701d0b86943cae5,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag0-n20-run01
mag5,0.010183058977127013,-0.006962231397628749,-0.04611224977675388,Single-model final runs,45-60m,58,0-15m,82,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-mag5-n10-run01,6336340d7b86d78a9e57368308f8d13d132bf5c7,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag5-n10-run01
mag5,0.012481318712234513,-0.008477154374122609,-0.07534144692854916,Single-model final runs,Q4,68,Q1,81,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-mag5-n10-run01,6336340d7b86d78a9e57368308f8d13d132bf5c7,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag5-n10-run01
mag5,nan,nan,nan,Base model as tool,45-60m,0,0-15m,47,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,63d76db90f0154302e1b986d8e9ed4add9361b7b,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag5,-0.012347623109817518,0.007510432004928569,0.054981390641110295,Base model as tool,Q4,11,Q1,14,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,63d76db90f0154302e1b986d8e9ed4add9361b7b,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-tech,0.11516546249389648,-0.08425965964794158,-1.1785878030932109,Base model as tool,45-60m,44,0-15m,101,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,66fcbb011e18dcadb40725f70947c4a9923950d1,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-tech,0.11740495383739469,-0.08597758054733279,-1.212375754530746,Base model as tool,Q4,47,Q1,101,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,66fcbb011e18dcadb40725f70947c4a9923950d1,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-tech,0.11517449259757995,-0.0842658883333206,-1.1786765131473906,Base model as tool,45-60m,44,0-15m,101,base_model_as_tool,qwen3.5-35b-a3b-base,qwen3.5-35b-a3b-base,10,qwen3.5-35b-a3b-base,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,6984a6a7323af81c7741fa056240115fc0427a4b,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/scratch-results/base-model-qwen3.5-35b-a3b-base/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-tech,0.1174116891622543,-0.0859821403026581,-1.2124382248798868,Base model as tool,Q4,47,Q1,101,base_model_as_tool,qwen3.5-35b-a3b-base,qwen3.5-35b-a3b-base,10,qwen3.5-35b-a3b-base,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,6984a6a7323af81c7741fa056240115fc0427a4b,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/scratch-results/base-model-qwen3.5-35b-a3b-base/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-agi,nan,nan,nan,Obsession prompting,Q4,2,Q1,1,obsession_prompting,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,obs-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260412,69dbe3565669fbac262a4cbf68b37b4b183d7983,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsessions/obs-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260412
dom-tech,nan,nan,nan,Base model as tool,45-60m,0,0-15m,68,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,6aa13bb1da0f51b6bc82b9f38fa663d443bc8610,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-tech,0.17510831356048584,-0.104062020778656,-0.81152890089303,Base model as tool,Q4,16,Q1,16,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,6aa13bb1da0f51b6bc82b9f38fa663d443bc8610,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag0,0.043361247777938816,-0.031216432452201848,-0.9707440863861425,Single-model final runs,45-60m,370,0-15m,404,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-mag0-n30-run01,6c3d862b9c7533fbff62a8485b176b48545cb764,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag0-n30-run01
mag0,0.043250531554222094,-0.031164932847022986,-0.9715268832460708,Single-model final runs,Q4,373,Q1,401,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-mag0-n30-run01,6c3d862b9c7533fbff62a8485b176b48545cb764,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag0-n30-run01
mag25,0.021377413272857693,-0.013705150187015513,-0.14447131673993807,Single-model final runs,45-60m,18,0-15m,141,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag25-run04,6d3e2805af6653babf2fedb85ca20790cd830d58,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04
mag25,0.014565566182136558,-0.009790766537189466,-0.14434524334233068,Single-model final runs,Q4,43,Q1,129,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag25-run04,6d3e2805af6653babf2fedb85ca20790cd830d58,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04
mag0,0.13720142006874086,-0.0915111607313156,-1.193373088016274,Single-model final runs,45-60m,64,0-15m,227,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-mag0-n20-run01,6d6c7fa4a015ec0f2ab213125964e1f85605497c,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag0-n20-run01
mag0,0.13358449041843412,-0.08940462291240692,-1.1842966545238527,Single-model final runs,Q4,66,Q1,226,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-mag0-n20-run01,6d6c7fa4a015ec0f2ab213125964e1f85605497c,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag0-n20-run01
mag0,0.044363527894020094,-0.032443023324012776,-0.2769461422514521,Base model as tool,45-60m,29,0-15m,93,base_model_as_tool,qwen3.5-35b-a3b-base,qwen3.5-35b-a3b-base,10,qwen3.5-35b-a3b-base,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,782ac9ee7fc84e636ead20ed1627992350dd481c,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/scratch-results/base-model-qwen3.5-35b-a3b-base/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag0,0.024905124306678794,-0.01823359727859497,-0.0907392221134673,Base model as tool,Q4,32,Q1,86,base_model_as_tool,qwen3.5-35b-a3b-base,qwen3.5-35b-a3b-base,10,qwen3.5-35b-a3b-base,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,782ac9ee7fc84e636ead20ed1627992350dd481c,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/scratch-results/base-model-qwen3.5-35b-a3b-base/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-tech,0.24658026337623595,-0.17575919210910795,-2.322553272086142,Base model as tool,45-60m,43,0-15m,106,base_model_as_tool,olmo3-32b-base,olmo3-32b-base,10,olmo3-32b-base,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,784e824a4ce57c18bf4d715e73793323d9611c11,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408
dom-tech,0.18944942355155947,-0.13960153043270113,-2.076747171022457,Base model as tool,Q4,50,Q1,100,base_model_as_tool,olmo3-32b-base,olmo3-32b-base,10,olmo3-32b-base,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,784e824a4ce57c18bf4d715e73793323d9611c11,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408
mag25,0.022154351472854605,-0.015322322249412546,-0.22629513095792664,Obsession prompting,Q4,11,Q1,157,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,796c12ef70b371be99c4a6286670c7ab2dda7af6,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag25-n10-run01-gpt-5-20260418
dom-agi,-0.06473656415939333,0.044363806843757625,0.5601101174009684,Base model as tool,45-60m,52,0-15m,96,base_model_as_tool,olmo3-32b-instruct,olmo3-32b-instruct,10,olmo3-32b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,7b306018e8d9f0aaa251ec4bf456f910e56ef762,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408
dom-agi,-0.06440279841423036,0.04420118570327758,0.589116744566994,Base model as tool,Q4,56,Q1,95,base_model_as_tool,olmo3-32b-instruct,olmo3-32b-instruct,10,olmo3-32b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,7b306018e8d9f0aaa251ec4bf456f910e56ef762,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408
mag25,0.022651088833808897,-0.01738354265689851,-0.3350368223374218,Obsession prompting,Q4,28,Q1,273,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag25-n10-run01-gpt-5-20260419,7fdbe74e1d167f5f5ba08512d1f57040cb6b05a9,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag25-n10-run01-gpt-5-20260419
mag1,nan,nan,nan,Base model as tool,45-60m,0,0-15m,71,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,81bcd456746326f4ce5b3e4e3d4ec71074dbf2fb,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag1,0.2153266191482544,-0.12879139780998228,-0.9835132138827807,Base model as tool,Q4,17,Q1,19,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,81bcd456746326f4ce5b3e4e3d4ec71074dbf2fb,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag25,0.03799202978610994,-0.026247895359993,-0.6763924552649963,Single-model final runs,45-60m,236,0-15m,274,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-mag25-n20-run01,81e379c3d806dcd84af9f89395a169434aa666d3,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag25-n20-run01
mag25,0.030662398338317853,-0.021021733880043025,-0.8157939834027701,Single-model final runs,Q4,339,Q1,788,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-mag25-n20-run01,81e379c3d806dcd84af9f89395a169434aa666d3,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag25-n20-run01
mag25,nan,nan,nan,Base model as tool,45-60m,0,0-15m,9,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,qwen3.5-35b-a3b-instruct,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,82fd61055de045342243b80e4c24020a82e2046f,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408
mag25,nan,nan,nan,Base model as tool,Q4,1,Q1,7,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,qwen3.5-35b-a3b-instruct,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,82fd61055de045342243b80e4c24020a82e2046f,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408
mag25,0.04755616664886475,-0.031693587899208064,-0.8270453735328358,Single-model final runs,45-60m,104,0-15m,139,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag25-n10-run01,852f26a14ae81926ea3105598ca9785c486f6611,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag25-n10-run01
mag25,0.046247110366821276,-0.03096274048089981,-1.1579765920426914,Single-model final runs,Q4,181,Q1,170,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag25-n10-run01,852f26a14ae81926ea3105598ca9785c486f6611,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag25-n10-run01
mag1,nan,nan,nan,Base model as tool,45-60m,0,0-15m,50,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,8666bdd418cfc03b92644bc90f979e515ffca695,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403
